@relation training_set

@attribute branch-load-misses numeric
@attribute branch-loads numeric
@attribute L1-dcache-load-misses numeric
@attribute branch-store-misses numeric
@attribute branch-stores numeric
@attribute dTLB-load-misses numeric
@attribute dTLB-loads numeric
@attribute iTLB-load-misses numeric
@attribute iTLB-loads numeric
@attribute L1-dcache-loads numeric
@attribute L1-dcache-store-misses numeric
@attribute L1-dcache-stores numeric
@attribute L1-icache-load-misses numeric
@attribute L1-icache-loads numeric
@attribute branch-misses numeric
@attribute bus-cycles numeric
@attribute cache-misses numeric
@attribute cache-references numeric
@attribute cpu-cycles numeric
@attribute instructions numeric
@attribute label {malware,benign}

@data
5138523,249263394,5664828,10393362,339031260,3555391,1027380169,1110500,910833829,1023803973,8224976,1023937767,14377244,1093423519,10377207,1562693537,5544053,429463287,2678403824,4132566340,malware
8733816,274193585,7070915,6835800,157526521,1752835,641600576,887257,533314345,571400489,5090535,571378399,13277378,921560987,7194656,1474354879,5498315,618820203,2062679723,3088245296,malware
5731559,159165362,5208930,3819922,159657340,1043347,661852931,662968,598969529,619353620,5041151,619173378,7133505,982105858,4071586,2202179647,5536821,595490890,2295833276,3606668855,malware
3617621,162229913,4933210,3181504,157338395,795872,685096204,453180,622512587,656231618,5186877,656669697,5773739,986874344,3194812,2279947320,4943415,633306583,2353508881,3788458569,malware
3351051,158847984,4402905,2920831,155244423,749920,691055729,478367,637772702,641802929,4166176,641557741,5636361,1006867312,3121048,2318673679,4462108,645704401,2335843046,3811943388,malware
2958863,153077882,3969151,3023455,154771171,761159,669800044,400797,613503199,639043263,4027426,638823358,5391475,995224546,2966730,2299563587,4116388,639338016,2297062184,3754183253,malware
3336357,162752262,4552159,3148405,162313270,893185,695257620,494046,643791580,658025308,4560757,658213277,5681823,1000039649,3292599,2437226130,4784839,671993997,2346897080,3828834760,malware
3293704,160341761,4166721,2836655,155052633,755896,682579794,409035,620005997,637431656,4162529,637528359,5269054,988062815,2790125,2324103242,4488543,644160830,2288402457,3787808199,malware
3102712,177050316,4896202,2951466,155580836,774685,665743729,411045,607856025,636205600,4021120,635862278,5516052,987514068,2924939,2335343289,4160039,645800385,2288667230,3776174146,malware
5431101,167629488,5876254,2901035,156375971,787225,684561026,421965,621352538,649855893,4177262,650200897,5485951,1001880817,3055376,2288247916,4026016,638718498,2334671033,3843762964,malware
8582596,140461151,7104007,3110654,158547762,878572,674537365,443656,613992468,644960269,4268368,645056343,5559926,994449754,3047694,2386857242,4379058,659772540,2315895533,3818730306,malware
8761461,142994679,7313411,2912846,156161940,772282,676361551,438925,618546510,658655643,4575623,658447706,6004323,1032023772,3232851,2361479239,4488911,654281210,2351540740,3854744662,malware
10183878,157753351,8280489,2881912,156784555,783401,666679412,414937,610430888,639793812,4494079,639589150,5390092,983853958,2943245,2299247080,4531727,640629503,2359883912,3858953601,malware
9948300,142850886,7249729,3146569,161326960,873733,685051250,406147,625003537,631065532,4504688,631293050,5266478,1000420439,2929941,2296878537,4549587,645948018,2291150006,3739507363,malware
15628740,201486800,9192389,2839276,156498810,773894,683649941,500551,634468208,650840741,4771459,650944526,5387641,1004683496,3089403,2311045405,4800014,650696344,2324871670,3814504713,malware
19460982,177563794,9442739,2723828,155469368,720649,673570529,399456,616145686,643058946,4721221,643076197,5183209,1008434870,2759810,2303650473,4415953,644247117,2291872498,3766121259,malware
16035790,211156399,9730129,2669627,153311121,705270,677350200,384203,620121709,639753525,4355025,639751301,5383192,1009409324,2939917,2305765190,4598057,645163332,2291139971,3773322430,malware
11804879,220757972,9115181,3023939,160612808,870505,673547212,405424,617962877,638901093,4390016,638923093,5394405,1013631056,2933594,2345593253,4355369,648548400,2309524637,3818587715,malware
12290493,212337647,7911641,2628679,154118233,698143,683851093,408207,628833863,651397155,4136506,651397210,5255094,1005629940,2819794,2298990628,3908386,643785145,2303198409,3822921046,malware
12666707,217765420,8689262,2695719,155812796,728375,675089443,366074,617544794,638444801,3800794,638364699,5099181,1004578380,2804653,2320745435,4240712,651133034,2283505158,3768210228,malware
15727960,202254682,9978947,2615485,154330278,686861,676897767,374476,619119288,642479884,4325483,642317119,4969213,996220068,2672290,2319100876,4163299,646274004,2328093121,3837003214,malware
15052159,212035960,10241709,2692875,155178232,713726,671757941,363482,615503077,644337508,3943474,644262710,4852762,994806311,2596708,2298994935,3922180,644872440,2270927805,3754100748,malware
16397107,184649600,9233340,2510156,153122783,670535,674326446,357931,617176281,646947309,4096020,647249070,5113137,1000462953,2765872,2320410304,3977372,648636146,2288635806,3792980100,malware
15762256,188999251,9422108,2568003,153104656,679146,669605257,352746,613653518,638738887,3953483,638688878,4852107,998446203,2575577,2316943492,4028862,641724409,2287213440,3796266880,malware
12631456,238418107,8698464,2489062,152547204,656175,671429240,350604,612694516,640120830,3810108,640041273,4884597,996953302,2607730,2290965293,3873352,637743036,2292845831,3805743614,malware
10360232,287804644,9540522,2625505,154962948,686445,669472547,346467,609473649,644727037,3968315,644812971,4949054,990414394,2628022,2306295437,3915717,641999251,2287782737,3789440688,malware
11929446,235897257,9414807,2615714,152954946,681087,674636718,354357,617052287,648310528,4009677,648328972,4835231,1004672775,2576539,2295787966,3880305,634484283,2315782324,3821073169,malware
12922727,213856113,7993220,2584929,155106822,690516,669482863,352062,610421686,643870648,3891833,643963628,4952739,993844675,2690911,2317303710,3962108,642233652,2284055703,3771824424,malware
11992824,214604984,7939993,2579186,153566562,671682,672847545,354214,612891857,644297407,3926423,644336845,4990734,993581432,2656304,2289105861,4013738,638613613,2314306528,3819097074,malware
12149600,211683374,7772547,2545253,152792132,659231,668641157,354876,610849899,638927084,3866790,638525105,4990354,1010101814,2656207,2308430856,3939203,644376331,2288315660,3780076584,malware
13116735,209258352,7892045,2526267,153003905,655585,672092930,340916,613839257,646429070,3970898,646792492,4724567,990659058,2530507,2315891177,3998580,643958222,2295685783,3815796103,malware
16070421,192992841,8639774,2521373,153473859,658929,670987534,350682,613067376,637975525,3881361,637812885,4888240,995594372,2613569,2287710988,3908324,637572472,2302726219,3837644742,malware
18296063,172772233,9206315,2696158,158689589,715503,667142138,345685,608360127,638663211,3817440,638775378,4800284,996950138,2577334,2315384777,3931513,644420832,2308985839,3825866892,malware
18612234,173761734,9140491,2574614,153928669,671522,671928563,351740,615234881,636791461,3919556,636821429,4920297,997380462,2651224,2319126719,3991072,647051695,2285176222,3772177463,malware
18897824,172348620,9143883,2574260,154038361,675757,676543209,359296,618684874,645300126,4189434,645021965,4882481,997723060,2605042,2289636053,4063910,639857630,2314554037,3846907622,malware
17632455,179911158,8958774,2565081,153944836,668714,673182190,345844,615642136,646521505,4409949,646727572,4829891,1001546827,2607338,2315856521,4413752,652269242,2288288376,3825839481,malware
18275355,176342585,9079063,2565762,154003010,682169,677558315,359567,619914793,645779376,4393845,645681364,4943419,1006435709,2677447,2284603469,4362124,642146230,2309770207,3853892929,malware
12615580,212541543,8398043,2541458,153960052,668367,669604386,344689,612493512,640805003,4369355,640911883,4938403,1004876640,2636972,2281414997,4373552,641407663,2333361276,3870497353,malware
11356688,210913049,7947785,2614438,155260077,701301,675404558,354889,617925985,644176274,4386583,643875062,5076234,1008948824,2789528,2281789378,4332082,642015996,2296987178,3819592197,malware
12479570,216649551,8073171,2524218,154146485,671774,677940750,389778,626340844,647438124,4530199,647780516,4889768,998249168,2619211,2297033327,4472108,648167606,2318835721,3851068115,malware
13037935,211666692,7887662,2507752,153234712,653351,672605108,348803,616083154,641716929,4383533,641831050,4856816,1000614118,2649242,2283496612,4390501,642970970,2304505540,3830246036,malware
13541707,208121100,7922876,2532160,154680179,678924,672443840,346906,614748974,641471184,4395904,641369640,4826893,997078521,2582422,2317604234,4497478,650028199,2301906567,3833689437,malware
18592793,170520071,9017119,2587945,155335302,686741,674856934,349858,617268679,649478416,4466523,649127767,4872807,1004430074,2645487,2303961350,4493042,645775769,2296912930,3824227449,malware
18610880,168133586,8976953,2620680,155629679,698934,682479813,346786,622375055,634803821,4332761,635046561,4880171,992434894,2613325,2315543997,4486773,650636472,2320301792,3823738787,malware
18985087,167436260,9045282,2490291,153225491,665324,672384311,348719,615376497,638754031,4371401,638773053,4790512,1007544605,2575616,2289754341,4369075,645177821,2285831830,3806487057,malware
17488662,182124904,9132199,2632672,155820984,708814,676373527,357017,619169871,641910436,4260636,641619889,4819716,1004650225,2560894,2314268607,4485416,651293660,2281511095,3807034463,malware
16296568,187958367,9235009,2521892,154675456,683926,678827648,351926,619043010,645796190,4456661,646012371,4766911,1003578476,2554797,2312190875,4484939,645931461,2297960253,3846748463,malware
16678301,194359227,9534916,2653114,156417237,711614,677965855,344440,617268610,644869311,4374890,645015049,4892318,1004272755,2682008,2287843375,4376914,643629743,2290009862,3808216152,malware
12609768,203775212,8769068,2598060,154730772,683363,683714555,343473,622234041,645382924,4406136,645348697,4817288,1003308204,2611867,2293779173,4373691,647953689,2293802788,3821822509,malware
12054127,210641584,8804885,2479964,154165891,661085,677972654,355238,620756554,644522854,4324472,644464799,4866726,1003779864,2631406,2292236428,4419341,646081392,2296738676,3818958226,malware
12903660,209559363,8643306,2547953,154489768,666714,672739424,345974,615781156,648303496,4435726,648294072,4966306,1009784161,2672176,2294079900,4337664,646704114,2286140319,3820700617,malware
13369843,210820930,8764182,2481135,153829979,659804,680682830,350757,620367885,644174413,4317345,644080775,4689594,999565946,2506975,2290116077,4384845,646452809,2276207886,3805236582,malware
13584841,212338055,8794430,2504844,154193080,665733,673088981,336155,614659725,646623651,4395516,646705132,4784844,1005317562,2561749,2287576808,4386266,643711205,2298926497,3840801957,malware
13363658,210268197,8727123,2629314,155357028,693939,681301031,345047,620651310,643505265,4381124,643487900,4782408,1004291034,2566825,2292809218,4396589,645609589,2300682334,3843183190,malware
